Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
369919,The Hacker Diaries: Confessions of Teenage Hackers,Dan Verton,"Verton, Dan",,"=""0072223642""","=""9780072223644""",0,3.43,McGraw-Hill Education,Hardcover,219,2002,2001,,2016/04/11,"acm2, to-read","acm2 (#151), to-read (#151)",to-read,,,,,,,0,,,,,
454039,The Elements of Programming Style,Brian W. Kernighan,"Kernighan, Brian W.",P.J. Plauger,"=""0070342075""","=""9780070342071""",0,4.09,McGraw-Hill Companies,Paperback,168,1988,1974,,2016/04/11,"acm2, to-read","acm2 (#150), to-read (#150)",to-read,,,,,,,0,,,,,
583566,"Practical PostgreSQL. A Hardened, Robust, Open Source Database.",John C. Worsley,"Worsley, John C.",Joshua D. Drake,"=""1565928466""","=""9781565928466""",0,3.48,O'Reilly Media,Paperback,636,2002,2002,,2016/04/11,"to-read, acm2","to-read (#149), acm2 (#149)",to-read,,,,,,,0,,,,,
260296,From Alchemy to Quarks,Sheldon L. Glashow,"Glashow, Sheldon L.","Lisa Moller, Beth Wilbur, Harvey Pantzis, Penelope Sky, Karharyn Graham","=""0534166563""","=""9780534166564""",0,4.00,Thomson Brooks/Cole,Hardcover,576,1993,1993,,2016/04/11,"to-read, acm2","to-read (#148), acm2 (#148)",to-read,,,,,,,0,,,,,
518428,America (The Book): A Citizen's Guide to Democracy Inaction,Jon Stewart,"Stewart, Jon","Samantha Bee, Rich Bloomquist, Steve Bodow, Tim Carvell, Stephen Colbert, Rob Corddry, Eric Drysdale, J.R. Havlan, Brendan Hay, Ed Helms, Scott Jacobson, David Javerbaum, Tom Johnson, Ben Karlin, Rob Kutner, Chris Regan, Jason Reich, Jason Ross","=""0446532681""","=""9780446532686""",0,4.02,Grand Central Publishing,Hardcover,227,2009,2004,,2016/04/11,"to-read, acm2","to-read (#147), acm2 (#147)",to-read,,,,,,,0,,,,,
23547,America (The Book): A Citizen's Guide to Democracy Inaction  (Teacher's Edition),Jon Stewart,"Stewart, Jon",Scott C. Jacobson,"=""0446691860""","=""9780446691864""",0,4.02,Warner Books,Paperback,227,2006,2004,,2016/04/11,"to-read, acm2","to-read (#146), acm2 (#146)",to-read,,,,,,,0,,,,,
26420,CSS: The Definitive Guide,Eric A. Meyer,"Meyer, Eric A.",,"=""0596527330""","=""9780596527334""",0,3.94,O'Reilly Media,Paperback,518,2006,2000,,2016/04/11,"to-read, acm2","to-read (#145), acm2 (#145)",to-read,,,,,,,0,,,,,
6758846,Database System Concepts,Abraham Silberschatz,"Silberschatz, Abraham","Henry F. Korth, S. Sudarshan","=""0073523321""","=""9780073523323""",0,3.76,McGraw-Hill Education,Hardcover,1349,2010,1987,,2016/04/11,"to-read, acm2","to-read (#144), acm2 (#144)",to-read,,,,,,,0,,,,,
7194433,"Machine Vision: Theory, Algorithms, Practicalities",E.R. Davies,"Davies, E.R.",,"=""012206092X""","=""9780122060922""",0,3.38,Morgan Kaufmann Publishers,Hardcover,750,1996,1990,,2016/04/11,"to-read, acm2","to-read (#142), acm2 (#142)",to-read,,,,,,,0,,,,,
960881,Technical Communication,Mike Markel,"Markel, Mike",,"=""0312441975""","=""9780312441975""",0,3.34,Bedford/St. Martin's,Paperback,736,2006,2002,,2016/04/11,"to-read, acm2","to-read (#143), acm2 (#143)",to-read,,,,,,,0,,,,,
3673775,Measuring the Software Process: A Practical Guide to Functional Measurements,David Herron,"Herron, David",,"=""0133490025""","=""9780133490022""",0,4.00,Prentice Hall PTR,Hardcover,235,1995,1995,,2016/04/11,"to-read, acm2","to-read (#141), acm2 (#141)",to-read,,,,,,,0,,,,,
6988746,HTML5: Up and Running,Mark Pilgrim,"Pilgrim, Mark",,"=""0596806027""","=""9780596806026""",0,3.92,O'Reilly Media,Paperback,207,2010,2010,,2016/04/11,"to-read, acm2","to-read (#140), acm2 (#140)",to-read,,,,,,,0,,,,,
2019097,"Programming Amazon Web Services: S3, EC2, SQS, FPS, and SimpleDB",James Murty,"Murty, James",,"=""0596515812""","=""9780596515812""",0,3.40,O'Reilly Media,Paperback,604,2008,2008,,2016/04/11,"to-read, acm2","to-read (#139), acm2 (#139)",to-read,,,,,,,0,,,,,
7001898,Seeing: The Computational Approach to Biological Vision,John P. Frisby,"Frisby, John P.",James V. Stone,"=""0262514273""","=""9780262514279""",0,5.00,MIT Press (MA),Paperback,576,2010,2010,,2016/04/11,"to-read, acm2","to-read (#138), acm2 (#138)",to-read,,,,,,,0,,,,,
1470650,The Elements Of Logic,Stephen F. Barker,"Barker, Stephen F.",,"=""0072832355""","=""9780072832358""",0,3.67,McGraw-Hill Humanities/Social Sciences/Languages,Hardcover,,2002,1965,,2016/04/11,"to-read, acm2","to-read (#136), acm2 (#136)",to-read,,,,,,,0,,,,,
4540447,In Search of Clusters: The Coming Battle in Lowly Parallel Computing,Gregory F. Pfister,"Pfister, Gregory F.",,"=""0134376250""","=""9780134376257""",0,0.0,Prentice Hall,Paperback,415,1995,1995,,2016/04/11,"to-read, acm2","to-read (#137), acm2 (#137)",to-read,,,,,,,0,,,,,
1211051,Cyberethics: Morality and Law in Cyberspace,Richard A. Spinello,"Spinello, Richard A.",,"=""0763737836""","=""9780763737832""",0,3.42,Jones & Bartlett Publishers,Paperback,232,2006,2001,,2016/04/11,"to-read, acm2","to-read (#135), acm2 (#135)",to-read,,,,,,,0,,,,,
13435687,"Programming iOS 5: Fundamentals of iPhone, iPad, and iPod touch Development",Matt Neuburg,"Neuburg, Matt",,"=""1449319343""","=""9781449319342""",0,4.05,O'Reilly Media,Paperback,1014,2012,2012,,2016/04/11,"to-read, acm2","to-read (#134), acm2 (#134)",to-read,,,,,,,0,,,,,
247902,AI for Game Developers,David M. Bourg,"Bourg, David M.","David C. Bourge, Glenn Seemann","=""0596005555""","=""9780596005559""",0,3.50,O'Reilly Media,Paperback,371,2004,2004,,2016/04/11,"to-read, acm2","to-read (#133), acm2 (#133)",to-read,,,,,,,0,,,,,
302908,Computer Networks: A Systems Approach,Larry L. Peterson,"Peterson, Larry L.",Bruce S. Davie,"=""0123705487""","=""9780123705488""",0,3.73,Morgan Kaufmann Publishers,Hardcover,806,2007,1996,,2016/04/11,"to-read, acm2","to-read (#132), acm2 (#132)",to-read,,,,,,,0,,,,,
225415,Selfish Routing and the Price of Anarchy,Tim Roughgarden,"Roughgarden, Tim",,"=""0262182432""","=""9780262182430""",0,0.0,Mit Press,Hardcover,240,2005,2005,,2016/04/11,"to-read, acm2","to-read (#131), acm2 (#131)",to-read,,,,,,,0,,,,,
158075,Wireless Sensor Networks: An Information Processing Approach,Leonidas Guibas,"Guibas, Leonidas",,"=""1558609148""","=""9781558609143""",0,3.00,Morgan Kaufmann Publishers,Hardcover,376,2004,2004,,2016/04/11,"to-read, acm2","to-read (#130), acm2 (#130)",to-read,,,,,,,0,,,,,
1252865,Wireless and Mobile All-IP Networks,Yi-Bing Lin,"Lin, Yi-Bing",,"=""0471749222""","=""9780471749226""",0,2.50,John Wiley & Sons,Hardcover,504,2005,2005,,2016/04/11,"to-read, acm2","to-read (#129), acm2 (#129)",to-read,,,,,,,0,,,,,
4984652,Wireless and Mobile Network Architectures,Imrich Chlamtac,"Chlamtac, Imrich",,"=""0471394920""","=""9780471394921""",0,3.88,John Wiley & Sons,Hardcover,560,2000,2000,,2016/04/11,"to-read, acm2","to-read (#128), acm2 (#128)",to-read,,,,,,,0,,,,,
2048021,Wireless Security and Privacy: Best Practices and Design Techniques,Tara M. Swaminatha,"Swaminatha, Tara M.",,"=""0201760347""","=""9780201760347""",0,0.0,Addison-Wesley Professional,Paperback,304,2002,2002,,2016/04/11,"to-read, acm2","to-read (#127), acm2 (#127)",to-read,,,,,,,0,,,,,
1596008,Building Wireless Community Networks,Rob Flickenger,"Flickenger, Rob",,"=""0596005024""","=""9780596005023""",0,3.87,O'Reilly Media,Paperback,182,2003,2001,,2016/04/11,"to-read, acm2","to-read (#126), acm2 (#126)",to-read,,,,,,,0,,,,,
1691639,Security and Quality of Service in Ad Hoc Wireless Networks,Amitabh Mishra,"Mishra, Amitabh",,"=""0521878241""","=""9780521878241""",0,0.0,Cambridge University Press,Hardcover,,2008,2008,,2016/04/11,"to-read, acm2","to-read (#125), acm2 (#125)",to-read,,,,,,,0,,,,,
1475194,TCP/IP Network Administration,Craig Hunt,"Hunt, Craig",,"=""1565923227""","=""9781565923225""",0,3.76,O'Reilly Media,Paperback,630,1997,1992,,2016/04/11,"to-read, acm2","to-read (#124), acm2 (#124)",to-read,,,,,,,0,,,,,
1230182,Managing IMAP,Dianna Mullet,"Mullet, Dianna","Kevin W. Mullet, Kevin Mullet","=""059600012X""","=""9780596000127""",0,3.50,O'Reilly Media,Paperback,410,2000,2000,,2016/04/11,"to-read, acm2","to-read (#123), acm2 (#123)",to-read,,,,,,,0,,,,,
606000,Essential System Administration,Æleen Frisch,"Frisch, Æleen",,"=""1565921275""","=""9781565921276""",0,3.78,O'Reilly Media,Paperback,788,1995,1991,,2016/04/11,"to-read, acm2","to-read (#122), acm2 (#122)",to-read,,,,,,,0,,,,,
376236,Time Management for System Administrators,Thomas A. Limoncelli,"Limoncelli, Thomas A.",,"=""0596007833""","=""9780596007836""",0,4.18,O'Reilly Media,Paperback,200,2005,2005,,2016/04/11,"to-read, acm2","to-read (#121), acm2 (#121)",to-read,,,,,,,0,,,,,
86546,Perl for System Administration: Managing multi-platform environments with Perl,David N. Blank-Edelman,"Blank-Edelman, David N.",Linda Mui,"=""1565926099""","=""9781565926097""",0,3.80,O'Reilly Media,Paperback,446,2000,2000,,2016/04/11,"to-read, acm2","to-read (#120), acm2 (#120)",to-read,,,,,,,0,,,,,
2130706,Introduction to Electric Circuits [With CDROM],Richard C. Dorf,"Dorf, Richard C.",,"=""0471386898""","=""9780471386896""",0,3.73,John Wiley & Sons,Hardcover,912,2000,1993,,2016/04/11,"acm2, to-read","acm2 (#119), to-read (#119)",to-read,,,,,,,0,,,,,
2422421,Introduction to Very Large Scale Integration Systems,Carver A. Mead,"Mead, Carver A.",L. Conway,"=""0201043580""","=""9780201043587""",0,4.38,Addison Wesley,Hardcover,396,1980,1979,,2016/04/11,"acm2, to-read","acm2 (#118), to-read (#118)",to-read,,,,,,,0,,,,,
16174690,The C Programming Language,Brian W. Kernighan,"Kernighan, Brian W.",Dennis Ritchie,"=""""","=""""",0,4.39,Prentice Hall,Kindle Edition,296,2012,1978,,2016/04/11,"to-read, acm2","to-read (#117), acm2 (#117)",to-read,,,,,,,0,,,,,
3310089,Operating Systems,Stuart E. Madnick,"Madnick, Stuart E.",John J. Donovan,"=""0070394555""","=""9780070394551""",0,4.71,McGraw-Hill Companies,Hardcover,640,1974,1974,,2016/04/11,"to-read, acm2","to-read (#116), acm2 (#116)",to-read,,,,,,,0,,,,,
466639,Understanding Operating Systems,Ann McIver McHoes,"McHoes, Ann McIver",,"=""0534423663""","=""9780534423667""",0,3.69,Course Technology,Hardcover,460,2005,1991,,2016/04/11,"to-read, acm2","to-read (#115), acm2 (#115)",to-read,,,,,,,0,,,,,
433444,Modern Information Retrieval,Ricardo Baeza-Yates,"Baeza-Yates, Ricardo",,"=""020139829X""","=""9780201398298""",0,3.70,Addison Wesley Publishing Company,Paperback,513,1999,1999,,2016/04/11,"to-read, acm2","to-read (#114), acm2 (#114)",to-read,,,,,,,0,,,,,
4720559,Intellectual Property in the New Technological Age: 2008 Case and Statutory Supplement,Robert Merges,"Merges, Robert",,"=""0735572208""","=""9780735572201""",0,0.0,Aspen Publishers,Paperback,570,2008,2008,,2016/04/11,"to-read, acm2","to-read (#113), acm2 (#113)",to-read,,,,,,,0,,,,,
3678880,Mathematical Go: Chilling Gets the Last Point,Elwyn R. Berlekamp,"Berlekamp, Elwyn R.",David Wolfe,"=""1568810326""","=""9781568810324""",0,4.30,AK Peters,Hardcover,234,1994,1994,,2016/04/11,"to-read, acm2","to-read (#112), acm2 (#112)",to-read,,,,,,,0,,,,,
10229277,Global Catastrophic Risks,Nick Bostrom,"Bostrom, Nick",Milan M. Cirkovic,"=""0199606501""","=""9780199606504""",0,3.91,"Oxford University Press, USA",Paperback,554,2011,2008,,2016/04/11,"to-read, acm2","to-read (#111), acm2 (#111)",to-read,,,,,,,0,,,,,
853213,Svg Essentials,J. David Eisenberg,"Eisenberg, J. David",,"=""0596002238""","=""9780596002237""",0,3.51,O'Reilly Media,Paperback,360,2002,2002,,2016/04/11,"to-read, acm2","to-read (#110), acm2 (#110)",to-read,,,,,,,0,,,,,
1718099,XML in a Nutshell: A Desktop Quick Reference,Elliotte Rusty Harold,"Harold, Elliotte Rusty",Elliotte Rusty Harold,"=""0596000588""","=""9780596000585""",0,3.50,O'Reilly Media,Paperback,498,2001,2001,,2016/04/11,"to-read, acm2","to-read (#109), acm2 (#109)",to-read,,,,,,,0,,,,,
233161,UML 2.0 in a Nutshell (In a Nutshell (O'Reilly)),Dan Pilone,"Pilone, Dan",Neil Pitman,"=""0596007957""","=""9780596007959""",0,3.13,O'Reilly Media,Paperback,236,2005,2005,,2016/04/11,"to-read, acm2","to-read (#108), acm2 (#108)",to-read,,,,,,,0,,,,,
1120093,Mathematical Perspectives on Neural Networks,Smolensky,"Smolensky, Smolensky",,"=""0805812016""","=""9780805812015""",0,0.0,Psychology Press,Hardcover,,1996,1996,,2016/04/11,"to-read, acm2","to-read (#107), acm2 (#107)",to-read,,,,,,,0,,,,,
1714444,PNG: The Definitive Guide: The Definitive Guide,Greg Roelofs,"Roelofs, Greg",,"=""1565925424""","=""9781565925427""",0,3.25,O'Reilly Media,Paperback,340,1999,1999,,2016/04/11,"to-read, acm2","to-read (#106), acm2 (#106)",to-read,,,,,,,0,,,,,
1832955,MP3: The Definitive Guide: The Definitive Guide,Scot Hacker,"Hacker, Scot",,"=""1565926617""","=""9781565926615""",0,2.50,O'Reilly Media,Paperback,400,2000,2000,,2016/04/11,"to-read, acm2","to-read (#105), acm2 (#105)",to-read,,,,,,,0,,,,,
829182,Computer Systems: A Programmer's Perspective,Randal E. Bryant,"Bryant, Randal E.",David R. O'Hallaron,"=""013034074X""","=""9780130340740""",0,4.29,Prentice Hall,Hardcover,978,2002,2002,,2016/04/11,"to-read, acm2","to-read (#104), acm2 (#104)",to-read,,,,,,,0,,,,,
951007,The Unicode Standard: Version 4. 0,The Unicode Consortium,"Consortium, The Unicode","Mark Davis, Joan Aliprand","=""0321185781""","=""9780321185785""",0,4.29,Addison Wesley Publishing Company,Hardcover,,,1991,,2016/04/11,"to-read, acm2","to-read (#103), acm2 (#103)",to-read,,,,,,,0,,,,,
983805,"An Imaginary Tale: The Story of ""I"" [The Square Root of Minus One]",Paul J. Nahin,"Nahin, Paul J.",,"=""0691027951""","=""9780691027951""",0,3.96,Princeton University Press,Hardcover,280,1998,1998,,2016/04/11,"to-read, acm2","to-read (#102), acm2 (#102)",to-read,,,,,,,0,,,,,
2222003,Lie Groups for Pedestrians,Harry J. Lipkin,"Lipkin, Harry J.",,"=""0486421856""","=""9780486421858""",0,3.56,Dover Publications,Paperback,192,2002,2002,,2016/04/11,"to-read, acm2","to-read (#101), acm2 (#101)",to-read,,,,,,,0,,,,,
4835807,Designing Embedded Hardware,John Catsoulis,"Catsoulis, John",,"=""0596003625""","=""9780596003623""",0,4.08,O'Reilly Media,Paperback,320,2002,2002,,2016/04/11,"to-read, acm2","to-read (#100), acm2 (#100)",to-read,,,,,,,0,,,,,
331764,Programming Embedded Systems in C and C++,Michael Barr,"Barr, Michael",Andy Oram,"=""1565923545""","=""9781565923546""",0,3.44,O'Reilly Media,Paperback,200,1999,1999,,2016/04/11,"to-read, acm2","to-read (#99), acm2 (#99)",to-read,,,,,,,0,,,,,
4900304,Introductory circuit analysis,Robert L. Boylestad,"Boylestad, Robert L.",,"=""0675206316""","=""9780675206310""",0,3.87,Merrill Pub. Co.,,864,1987,1982,,2016/04/11,"to-read, acm2","to-read (#98), acm2 (#98)",to-read,,,,,,,0,,,,,
3477935,Digital Integrated Circuits: A Design Perspective,Jan M. Rabaey,"Rabaey, Jan M.",,"=""0131786091""","=""9780131786097""",0,3.69,Prentice Hall,Hardcover,702,1995,1995,,2016/04/11,"to-read, acm2","to-read (#97), acm2 (#97)",to-read,,,,,,,0,,,,,
5509287,Implementing Mathematics with the Nuprl Proof Development System,Robert L. Constable,"Constable, Robert L.",,"=""0134518322""","=""9780134518329""",0,0.0,Prentice Hall,Unknown Binding,299,1986,1986,,2016/04/11,"acm2, to-read","acm2 (#96), to-read (#96)",to-read,,,,,,,0,,,,,
766872,Mastering Regular Expressions: Powerful Techniques for Perl and Other Tools,Jeffrey E.F. Friedl,"Friedl, Jeffrey E.F.",,"=""1565922573""","=""9781565922570""",0,4.13,O'Reilly Media,Paperback,368,1997,1997,,2016/04/11,"acm2, to-read","acm2 (#95), to-read (#95)",to-read,,,,,,,0,,,,,
617129,Programming Python [with CD],Mark Lutz,"Lutz, Mark",,"=""0596000855""","=""9780596000851""",0,3.88,O'Reilly Media,Paperback,1292,2001,1996,,2016/04/11,"to-read, acm2","to-read (#94), acm2 (#94)",to-read,,,,,,,0,,,,,
2047530,Perl 6 Essentials,Allison Randal,"Randal, Allison","Dan Sugalski, Leopold Totsch","=""0596004990""","=""9780596004996""",0,2.70,O'Reilly Media,Paperback,208,2003,2003,,2016/04/11,"to-read, acm2","to-read (#92), acm2 (#92)",to-read,,,,,,,0,,,,,
1380470,Programming PHP,Rasmus Lerdorf,"Lerdorf, Rasmus",Kevin Tatroe,"=""1565926102""","=""9781565926103""",0,3.87,O'Reilly Media,Paperback,524,2002,2002,,2016/04/11,"to-read, acm2","to-read (#93), acm2 (#93)",to-read,,,,,,,0,,,,,
86369,Mastering Algorithms with Perl,Jon Orwant,"Orwant, Jon","Jarkko Hietaniemi, John  Macdonald","=""""","=""9781565923980""",0,3.84,O'Reilly Media,Paperback,706,1999,1999,,2016/04/11,"to-read, acm2","to-read (#91), acm2 (#91)",to-read,,,,,,,0,,,,,
1122695,The Little MLer,Matthias Felleisen,"Felleisen, Matthias",Daniel P. Friedman,"=""026256114X""","=""9780262561143""",0,3.89,Mit Press,Paperback,200,1998,1997,,2016/04/11,"to-read, acm2","to-read (#90), acm2 (#90)",to-read,,,,,,,0,,,,,
583689,Managing Projects with Make,Andrew Oram,"Oram, Andrew",Steve Talbott,"=""0937175900""","=""9780937175903""",0,3.66,O'Reilly Media,Paperback,168,1991,1991,,2016/04/11,"to-read, acm2","to-read (#89), acm2 (#89)",to-read,,,,,,,0,,,,,
1809447,"C, A Software Engineering Approach",Peter A. Darnell,"Darnell, Peter A.",Philip E. Margolis,"=""0387973893""","=""9780387973890""",0,3.17,Springer,Paperback,,1995,1995,,2016/04/11,"acm2, to-read","acm2 (#88), to-read (#88)",to-read,,,,,,,0,,,,,
401199,Lex & Yacc,John R. Levine,"Levine, John R.","Tony Mason, Doug  Brown","=""1565920007""","=""9781565920002""",0,3.64,O'Reilly Media,Paperback,388,1992,1990,,2016/04/11,"to-read, acm2","to-read (#87), acm2 (#87)",to-read,,,,,,,0,,,,,
7107155,jQuery Cookbook: Solutions & Examples for jQuery Developers,Cody Lindley,"Lindley, Cody","Cody Lindley, jQuery Community Experts","=""0596159773""","=""9780596159771""",0,3.84,O'Reilly Media,Paperback,480,2009,2009,,2016/04/11,"to-read, acm2","to-read (#86), acm2 (#86)",to-read,,,,,,,0,,,,,
265506,Exploring Expect: A Tcl-based Toolkit for Automating Interactive Programs,Don Libes,"Libes, Don",Tim O'Reilly,"=""1565920902""","=""9781565920903""",0,3.93,O'Reilly Media,Paperback,606,1994,1994,,2016/04/11,"to-read, acm2","to-read (#85), acm2 (#85)",to-read,,,,,,,0,,,,,
839689,Learning C#,Jesse Liberty,"Liberty, Jesse",,"=""0596003765""","=""9780596003760""",0,3.12,O'Reilly Media,Paperback,368,2002,2002,,2016/04/11,"to-read, acm2","to-read (#84), acm2 (#84)",to-read,,,,,,,0,,,,,
4344147,Computing Concepts With C++ Essentials,Cay S. Horstmann,"Horstmann, Cay S.",,"=""0471318477""","=""9780471318477""",0,4.33,Wiley,Paperback,704,1998,1996,,2016/04/11,"to-read, acm2","to-read (#83), acm2 (#83)",to-read,,,,,,,0,,,,,
852918,Programming the Perl DBI,Tim Bunce,"Bunce, Tim",Alligator Descartes,"=""1565926994""","=""9781565926998""",0,3.38,O'Reilly Media,Paperback,366,2000,2000,,2016/04/11,"to-read, acm2","to-read (#82), acm2 (#82)",to-read,,,,,,,0,,,,,
103685,Using C on the Unix System,Dave Curry,"Curry, Dave",,"=""0937175234""","=""9780937175231""",0,3.67,O'Reilly Media,Paperback,250,1989,1989,,2016/04/11,"to-read, acm2","to-read (#81), acm2 (#81)",to-read,,,,,,,0,,,,,
854151,AppleScript in a Nutshell,Bruce W. Perry,"Perry, Bruce W.",,"=""1565928415""","=""9781565928411""",0,2.88,O'Reilly Media,Paperback,528,2001,2001,,2016/04/11,"to-read, acm2","to-read (#80), acm2 (#80)",to-read,,,,,,,0,,,,,
2823295,Principles of Functional Programming,Hugh Glaser,"Glaser, Hugh","David Till, Chris Hankin","=""0137091486""","=""9780137091485""",0,0.0,Prentice Hall International,Unknown Binding,251,1984,,,2016/04/11,"to-read, acm2","to-read (#79), acm2 (#79)",to-read,,,,,,,0,,,,,
